Scientific_Name,Common_name,Very_poisonous,Poisonous,Allergenic,Irritant,Invasive,Plant_id,Image_src
Spartium junceum,Spanish broom,1,0,0,0,1,ap115,https://upload.wikimedia.org/wikipedia/commons/9/97/Spartium_junceum_%28habitus%29.jpg
Swainsona galegifolia,Smooth Darling pea,0,1,0,0,0,ap116,https://upload.wikimedia.org/wikipedia/commons/5/51/Smooth_Darling_Pea_-_Swainsona_galegifolia_%287779075590%29.jpg
Wikstroemia indica,Tie bush,1,0,0,0,0,ap117,https://upload.wikimedia.org/wikipedia/commons/d/d9/Starr_050924-4519_Wikstroemia_monticola.jpg
Aesculus hippocastanum,Horse chestnut,0,1,0,0,1,ap118,https://upload.wikimedia.org/wikipedia/commons/2/2c/Horse_chestnut_flowers_in_Brodalen_4.jpg
Ailanthus altissima,Tree of heaven,0,0,1,1,1,ap119,https://upload.wikimedia.org/wikipedia/commons/8/84/Ailanthus-altissima.jpg
Buxus sempervirens,European box,0,1,0,0,0,ap120,https://upload.wikimedia.org/wikipedia/commons/f/fd/Buxus_sempervirens.jpg
Castanospermum australe,Black bean,0,1,0,0,0,ap121,https://upload.wikimedia.org/wikipedia/commons/5/53/Castanospermum_australe_flowers_and_foliage.jpg
Cinnamomum camphora,Camphor laurel,0,1,1,0,1,ap122,https://upload.wikimedia.org/wikipedia/commons/a/ae/Cinnamomum_camphora20050314.jpg
Corynocarpus laevigatus,New Zealand laurel,1,0,0,0,0,ap123,https://upload.wikimedia.org/wikipedia/commons/f/fc/Corynocarpuslaevigatus012.jpg
Dendrocnide excelsa,Giant stinging tree,0,0,1,0,0,ap124,https://upload.wikimedia.org/wikipedia/commons/f/f9/Dendrocnide_photinophylla_sapling.jpg
Duranta erecta,Duranta,0,1,0,0,1,ap125,https://upload.wikimedia.org/wikipedia/commons/9/94/Duranta_erecta.jpg
Erythrina vespertilio,Bat’s wing coral tree,1,0,0,0,0,ap126,https://upload.wikimedia.org/wikipedia/commons/1/19/Bean_trees.jpg
Fagus sylvatica,European beech,0,1,0,0,0,ap127,https://upload.wikimedia.org/wikipedia/commons/e/e4/Fagus-sylvatica-cansiglio-forest-italy.jpg
Ficus elastica,Indian rubber plant,0,0,0,1,0,ap128,https://upload.wikimedia.org/wikipedia/commons/1/16/Ficus_elastica_leaves_02.JPG
Grevillea pyramidalis,Caustic bush,0,0,1,0,0,ap129,https://upload.wikimedia.org/wikipedia/en/2/29/Grevillea_1.jpg
Grevillea robusta,Silky oak and similar species,0,0,1,0,0,ap130,https://upload.wikimedia.org/wikipedia/commons/9/9e/Grevillea_robusta-1.jpg
Ilex aquifolium,Holly,0,1,0,0,0,ap131,https://upload.wikimedia.org/wikipedia/commons/e/e8/2014-11-02_15_43_09_English_Holly_along_Glen_Mawr_Drive_in_Ewing%2C_New_Jersey.JPG
Laburnum anagyroides,Golden chain tree,1,0,0,0,0,ap132,https://upload.wikimedia.org/wikipedia/commons/6/61/Laburnum_anagyroides.jpg
Melia azedarach,White cedar,1,0,0,0,1,ap133,https://upload.wikimedia.org/wikipedia/commons/3/35/Melia_azedarach_01434.jpg
Plumeria rubra,Frangipani,0,0,1,1,0,ap134,https://upload.wikimedia.org/wikipedia/commons/a/aa/Champa_tree_with_pink_flowers_in_Islamabad%2C_Pakistan.jpg
Prunus cerasifera,Cherry plum,0,0,1,0,1,ap135,https://upload.wikimedia.org/wikipedia/commons/2/2d/Wildpflaume_Althof-2.jpg
Prunus laurocerasus,Cherry laurel,1,0,0,1,1,ap136,https://upload.wikimedia.org/wikipedia/commons/7/7a/Karayemi%C5%9F-8.jpg
Quercus species,Oaks,0,1,1,0,1,ap137,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Quercus_douglasii-12.jpg/1280px-Quercus_douglasii-12.jpg
Rhododendron species,Rhododendrons/ Azaleas,1,0,0,1,0,ap138,https://upload.wikimedia.org/wikipedia/commons/8/89/Pontische_rododendron_struik_%28Rhododendron_ponticum%29.jpg
Rhodomyrtus macrocarpa,Finger cherry,0,1,0,0,0,ap139,https://upload.wikimedia.org/wikipedia/commons/d/d8/Rhodomyrtus_tomentosa_1.jpg
Rhodomyrtus psidioides,Native guava,0,1,0,0,0,ap140,https://upload.wikimedia.org/wikipedia/commons/3/3c/Rhodomyrtus_psidioides.jpg
Robinia pseudoacacia,Black locust,1,0,0,1,1,ap141,https://upload.wikimedia.org/wikipedia/commons/c/ce/20130528Robinie_Hockenheim4.jpg
Sambucus nigra,Common elder,0,1,0,0,1,ap142,https://upload.wikimedia.org/wikipedia/commons/6/61/Sambucus_nigra_004.jpg
Schinus molle,Pepper tree,0,0,1,0,1,ap143,https://upload.wikimedia.org/wikipedia/commons/5/58/Schinus_Molle.jpg
Semecarpus australiensis,Tar tree,0,1,1,0,0,ap144,https://upload.wikimedia.org/wikipedia/commons/1/1d/P_Morc_D1252.JPG
Taxus baccata,Yew,1,0,0,1,0,ap145,https://upload.wikimedia.org/wikipedia/commons/3/31/Taxus_baccata_MHNT.jpg
Toxicodendron succedaneum,Rhus (Sumac),0,1,1,1,1,ap146,https://upload.wikimedia.org/wikipedia/commons/c/c8/Toxicodendron_succedaneum.jpg
Toxicodendron vernicifluum,Varnish tree/ Chinese or Japanese lacquer tree,0,1,1,0,0,ap147,https://upload.wikimedia.org/wikipedia/commons/4/41/Toxicodendron_vernicifluum_01.jpg
